dataset,condition,layer,relative_depth,mean,sem,count,metric
Baseline 200,AuriStream-MTP 7B 40Pred,72,0.75,0.3994044242421419,0.035296884857612,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,73,0.7604166666666666,0.3729421179098394,0.0349023563065287,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,74,0.7708333333333334,0.3504812959532434,0.0334725046769188,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,75,0.78125,0.3377712126154935,0.03265580310982,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,76,0.7916666666666666,0.3191232924927604,0.0316686590582208,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,77,0.8020833333333334,0.2998927967269593,0.031426875497063,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,78,0.8125,0.2913920630723179,0.0293434444932969,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,79,0.8229166666666666,0.2799602695706303,0.0287738987081757,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,80,0.8333333333333334,0.2806122268678249,0.0293205637419827,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,81,0.84375,0.2715405357277289,0.0286750876767987,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,82,0.8541666666666666,0.2658201288828977,0.0292096605044462,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,83,0.8645833333333334,0.2652993501488027,0.0289094755292055,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,84,0.875,0.2636167263697976,0.0291162270975272,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,85,0.8854166666666666,0.2572331582871158,0.0281619449135763,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,86,0.8958333333333334,0.2569230547968097,0.0289858095440678,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,87,0.90625,0.2564207871530519,0.0293768167358857,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,88,0.9166666666666666,0.2586190638933983,0.0290085991443906,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,89,0.9270833333333334,0.2599021384379823,0.0287584857311023,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,90,0.9375,0.2591047341391475,0.0291327723675827,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,91,0.9479166666666666,0.254564255688755,0.0290004494021596,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,92,0.9583333333333334,0.2491300949544151,0.0291794707787633,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,93,0.96875,0.2416203603359605,0.0311091107195557,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,94,0.9791666666666666,0.2372246434867377,0.0308865115890487,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,95,0.9895833333333334,0.2312729751085711,0.0311661729326765,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,AuriStream-MTP 7B 40Pred,96,1.0,0.1974779549866885,0.0264998460386301,8,mean participant-level r_cv_norm in language fROIs
